,auth_id,name,last_name,citations,cited_by,publications,orcid
0,7005227142,José Antonio,Cobos,5267.0,3940,343.0,
1,55708653400,Javier,LLorca,9830.0,6350,301.0,
2,7007057622,Manuel,Elices,8251.0,4563,285.0,
3,6701646524,Marcela G.,González-Gross,7167.0,5244,280.0,
4,8899577600,Javier,Bajo,2213.0,1376,271.0,0000-0003-0824-4133
5,7006226406,Shalom,Eliezer,3384.0,2339,253.0,
6,7003699673,Juan C.,Minano,3068.0,1799,243.0,0000-0003-2281-0728
7,22955661300,Óscar G.,García,4321.0,3453,230.0,
8,7004720416,Pedro,Larranãga,7997.0,6761,228.0,
9,57206543011,Pablo,Benítez,2758.0,1631,227.0,
10,14010357000,Óscar,Corcho,3793.0,3199,217.0,0000-0002-9260-0753
11,7005431885,Javier D.,Uceda,4132.0,3402,211.0,
12,7005083024,José Manuel,Perlado,2202.0,1609,210.0,
13,8057994300,Paolo P.,Ferracin,2255.0,761,204.0,
14,7005864666,Alexander N.,Pisarchik,2529.0,1450,195.0,0000-0003-2471-2507
15,7402489050,Javier,Jiménez,9705.0,6092,191.0,
16,24722967900,Andres,Santos,3070.0,2706,190.0,0000-0001-7423-9135
17,7005758135,María Teresa,Arredondo,1093.0,941,189.0,
18,6603934482,Asunción,Gómez-Pérez,3880.0,3090,189.0,0000-0002-3037-0331
19,56249124100,Pedro,Alou,2529.0,1968,188.0,
20,24438258500,Jesús Ángel,Oliver,1913.0,1405,187.0,
21,22635317100,J. L.,Ocaña,1964.0,1246,182.0,0000-0001-9263-8404
22,55663615800,Francisco,Del-Pozo,3410.0,2965,179.0,
23,7005853672,José Antonio,Encinar,3913.0,2021,176.0,0000-0002-2406-0847
24,7102122990,Miguel Ángel,Toro,4234.0,2834,171.0,
25,55897143900,Concha,Bielza,2425.0,2055,161.0,
26,6602760583,T.,Riesgo,1251.0,950,158.0,0000-0003-0532-8681
27,35556064900,Miguel A.,Muriel,2543.0,1922,158.0,0000-0002-5148-6624
28,6701472995,Enrique,Iborra,2170.0,1594,157.0,
29,55962197500,Diego,Andina,846.0,605,154.0,0000-0002-0022-7403
30,7403372571,Carlos D.,González,3510.0,2389,149.0,0000-0002-0724-138X
31,57194829160,Eduardo,Rocon,1584.0,1171,149.0,0000-0001-9618-2176
32,7003873556,José María,Martínez-Val,2590.0,1735,145.0,
33,6508053517,Ana María,Tarquís,1714.0,1291,139.0,0000-0003-2336-5371
34,6603913268,Rafael E.,Aracil,1147.0,905,138.0,
35,6701344777,Natalia,Juristo,2300.0,1791,136.0,
36,35433609500,José Manuel,Vega,1577.0,926,134.0,
37,7103233806,M.,Lara,1516.0,944,133.0,0000-0001-6754-916X
38,7005232168,Roberto,Prieto,2071.0,1669,133.0,
39,6602626691,M.,Ferre,902.0,714,130.0,0000-0003-0030-1551
40,16633750600,José Ignacio,Alonso,1226.0,1017,129.0,0000-0002-6384-6922
41,55171738800,Víctor,Maojo,1142.0,799,128.0,
42,7801546083,Maria J.,Ledesma-Carbayo,1804.0,1582,127.0,0000-0001-6846-3923
43,56919217700,Carlos,Romero,3332.0,2049,127.0,
44,6603954262,J. Alfredo,Güemes,1135.0,985,126.0,0000-0002-6700-3455
45,23007441000,Pascual,Campoy,1493.0,1114,126.0,0000-0002-9894-2009
46,7003837077,G. V.,Guinea,3933.0,2594,123.0,0000-0002-4326-3746
47,6602242147,Ernestina,Menasalvas-Ruiz,782.0,685,121.0,0000-0002-5615-6798
48,13806016000,Carme,Pretel,1547.0,683,121.0,
49,7007027395,Miguel Angel,Porras,2174.0,1258,120.0,0000-0001-8058-9377
50,7006350192,Jesús Ma,Rebollar,783.0,613,119.0,
51,56040889900,Manuel,Sierra-Castañer,771.0,663,117.0,0000-0002-8752-6448
52,6701549562,Santiago,Zazo,763.0,665,116.0,
53,7102523422,Marta,Clement,1211.0,769,115.0,
54,7005656802,Juan R.,Sanmartin,1515.0,826,115.0,0000-0001-5539-1844
55,9271886300,Mariano,Ruiz,588.0,411,112.0,0000-0002-1337-0110
56,7004170021,Gonzalo G.,Mateos,3440.0,1927,112.0,
57,55994487100,Antonio,Barrientos,1009.0,877,112.0,0000-0003-1691-3907
58,55729107500,Miguel Ángel R.,Gómez,1398.0,646,109.0,0000-0002-9585-3158
